
customer;wholesaler;period;operator;turnover;productGroup;transactionId;totalPoints;promotionPoints;bonusPoints
2623555;Örum Oy Ab;2025_01;-;29.11;PG0060000800000001;61-93490247;-29.11;0;0
2702457;Örum Oy Ab;2025_01;+;67.66;PG0070000400000001;61-93494652;67.66;0;0
216275;Örum Oy Ab;2025_01;+;37.16;PG0070000400000001;61-93493077;37.16;0;0
218005;Örum Oy Ab;2025_01;+;10.27;PG0070000400000001;61-93494623;10.27;0;0
3700083;Örum Oy Ab;2025_01;+;11.28;PG0070000400000001;61-93493870;11.28;0;0
326542;Örum Oy Ab;2025_01;+;48.81;PG0070000400000001;61-93494096;48.81;0;0
71184;Örum Oy Ab;2025_01;+;52.97;PG0070000400000001;61-93494642;52.97;0;0
19753;Örum Oy Ab;2025_01;+;431.54;PG0060000400000001;61-93494267;431.54;0;0
71193;Örum Oy Ab;2025_01;-;174.69;PG0060000600000003;61-93493873;-174.69;0;0
39100251;Örum Oy Ab;2025_01;-;7.15;PG0080000400000001;61-93493367;-7.15;0;0
71341;Örum Oy Ab;2025_01;+;7.96;PG0080000400000001;61-93494231;7.96;0;0
353599;Örum Oy Ab;2025_01;+;35.61;PG0080000300000001;61-93493135;35.61;0;0
220036;Örum Oy Ab;2025_01;+;25.74;PG0080000300000001;61-93494025;25.74;0;0
218147;Örum Oy Ab;2025_01;+;4.68;PG0080000100000001;61-93494104;4.68;0;0
218147;Örum Oy Ab;2025_01;+;4.72;PG0080000100000001;61-93494104;4.72;0;0
72031;Örum Oy Ab;2025_01;+;3.91;PG0080000100000001;61-93493465;3.91;0;0
39100251;Örum Oy Ab;2025_01;+;5.61;PG0080000100000001;61-93493281;5.61;0;0
2305;Örum Oy Ab;2025_01;+;6.46;PG0080000100000001;61-93494223;6.46;0;0
241679;Örum Oy Ab;2025_01;+;4.88;PG0080000100000001;61-93494293;4.88;0;0
71341;Örum Oy Ab;2025_01;+;4.51;PG0080000100000001;61-93494231;4.51;0;0
358;Örum Oy Ab;2025_01;+;60.25;PG0060000600000002;61-93494329;60.25;0;0
358;Örum Oy Ab;2025_01;+;45.47;PG0060000600000001;61-93494329;45.47;0;0
2803932;Örum Oy Ab;2025_01;+;31.46;PG0060000800000001;61-93493696;31.46;0;0
4200107;Örum Oy Ab;2025_01;+;62.91;PG0060000800000001;61-93494500;62.91;0;0
241128;Örum Oy Ab;2025_01;+;42.71;PG0060000800000001;61-93494316;42.71;0;0
71859;Örum Oy Ab;2025_01;+;63.54;PG0060000800000002;61-93494218;63.54;0;0
330103;Örum Oy Ab;2025_01;-;53.22;PG0010000100000002;61-93493333;-53.22;0;0
3700085;Örum Oy Ab;2025_01;-;19.63;PG0010000100000002;61-93493694;-19.63;0;0
210186;Örum Oy Ab;2025_01;+;5.06;PG0080000100000001;61-93494726;5.06;0;0
222107;Örum Oy Ab;2025_01;+;4.48;PG0080000100000001;61-93493278;4.48;0;0
214532;Örum Oy Ab;2025_01;+;3.91;PG0080000100000001;61-93493368;3.91;0;0
214344;Örum Oy Ab;2025_01;+;7.98;PG0080000100000001;61-93493524;7.98;0;0
2613186;Örum Oy Ab;2025_01;+;3.99;PG0080000100000001;61-93493552;3.99;0;0
218147;Örum Oy Ab;2025_01;+;4.56;PG0080000100000001;61-93494104;4.56;0;0
219207;Örum Oy Ab;2025_01;+;4.56;PG0080000100000001;61-93494370;4.56;0;0
19608;Örum Oy Ab;2025_01;+;3.99;PG0080000100000001;61-93493664;3.99;0;0
221181;Örum Oy Ab;2025_01;+;4.06;PG0080000100000001;61-93493082;4.06;0;0
222107;Örum Oy Ab;2025_01;+;4.48;PG0080000100000001;61-93494322;4.48;0;0
13749;Örum Oy Ab;2025_01;+;19.54;PG0080000100000001;61-93494610;19.54;0;0
40214;Örum Oy Ab;2025_01;+;4.56;PG0080000100000001;61-93494779;4.56;0;0
214499;Örum Oy Ab;2025_01;+;13.89;PG0010000100000002;61-93493568;13.89;0;0
214499;Örum Oy Ab;2025_01;+;13.89;PG0010000100000002;61-93493811;13.89;0;0
19608;Örum Oy Ab;2025_01;+;13.89;PG0010000100000002;61-93494428;13.89;0;0
210186;Örum Oy Ab;2025_01;+;13.48;PG0010000100000002;61-93494670;13.48;0;0
39034191;Örum Oy Ab;2025_01;+;13.41;PG0010000700000001;61-93493843;13.41;0;0
218057;Örum Oy Ab;2025_01;+;41.47;PG0010000200000001;61-93492951;41.47;0;0
70234;Örum Oy Ab;2025_01;+;54.7;PG0010000200000001;61-93494187;54.7;0;0
358;Örum Oy Ab;2025_01;+;52.67;PG0010000200000001;61-93494329;52.67;0;0
218005;Örum Oy Ab;2025_01;+;118.2;PG0010000200000001;61-93493362;118.2;0;0
15822;Örum Oy Ab;2025_01;+;63.25;PG0010000200000001;61-93494426;63.25;0;0
19608;Örum Oy Ab;2025_01;+;77.84;PG0010000200000001;61-93494336;77.84;0;0
221181;Örum Oy Ab;2025_01;-;53.29;PG0010000200000001;61-93493596;-53.29;0;0
214499;Örum Oy Ab;2025_01;+;106.24;PG0010000200000001;61-93493568;106.24;0;0
358;Örum Oy Ab;2025_01;+;160.82;PG0010000200000001;61-93494329;160.82;0;0
2622923;Örum Oy Ab;2025_01;+;104.78;PG0010000200000001;61-93494855;104.78;0;0
71193;Örum Oy Ab;2025_01;+;108.92;PG0010000200000001;61-93493498;108.92;0;0
71080;Örum Oy Ab;2025_01;+;79.71;PG0010000200000001;61-93493085;79.71;0;0
330103;Örum Oy Ab;2025_01;-;122.34;PG0010000200000001;61-93493333;-122.34;0;0
221255;Örum Oy Ab;2025_01;+;189.31;PG0010000200000001;61-93493849;189.31;0;0
214274;Örum Oy Ab;2025_01;+;19.32;PG0010000400000001;61-93493563;19.32;0;0
15822;Örum Oy Ab;2025_01;+;21.84;PG0010000400000001;61-93494426;21.84;0;0
2623555;Örum Oy Ab;2025_01;+;23.13;PG0010000400000001;61-93494489;23.13;0;0
214081;Örum Oy Ab;2025_01;+;24.99;PG0010000400000001;61-93494384;24.99;0;0
19608;Örum Oy Ab;2025_01;-;26.45;PG0010000400000001;61-93493307;-26.45;0;0
2810062;Örum Oy Ab;2025_01;-;27.71;PG0010000400000001;61-93493785;-27.71;0;0
515;Örum Oy Ab;2025_01;+;29.93;PG0010000400000001;61-93494188;29.93;0;0
2623555;Örum Oy Ab;2025_01;+;23.09;PG0010000100000002;61-93494418;23.09;0;0
217237;Örum Oy Ab;2025_01;+;26.85;PG0010000100000002;61-93492898;26.85;0;0
218147;Örum Oy Ab;2025_01;+;26.85;PG0010000100000002;61-93493676;26.85;0;0
71193;Örum Oy Ab;2025_01;+;23.99;PG0010000100000002;61-93494678;23.99;0;0
13749;Örum Oy Ab;2025_01;+;16.53;PG0010000100000002;61-93494304;16.53;0;0
214081;Örum Oy Ab;2025_01;+;19.17;PG0010000100000002;61-93494384;19.17;0;0
17918;Örum Oy Ab;2025_01;+;28.76;PG0010000100000002;61-93493123;28.76;0;0
72174;Örum Oy Ab;2025_01;+;41.26;PG0010000100000002;61-93493550;41.26;0;0
356899;Örum Oy Ab;2025_01;+;28.62;PG0010000100000002;61-93493379;28.62;0;0
218235;Örum Oy Ab;2025_01;+;22.84;PG0010000100000002;61-93493405;22.84;0;0
15822;Örum Oy Ab;2025_01;+;21.08;PG0010000100000002;61-93494426;21.08;0;0
2810062;Örum Oy Ab;2025_01;-;20.67;PG0010000100000002;61-93493785;-20.67;0;0
16618;Örum Oy Ab;2025_01;+;20.67;PG0010000100000002;61-93494795;20.67;0;0
204099;Örum Oy Ab;2025_01;+;41.02;PG0010000100000002;61-93492838;41.02;0;0
70234;Örum Oy Ab;2025_01;+;28.52;PG0010000100000002;61-93494187;28.52;0;0
321111;Örum Oy Ab;2025_01;+;39;PG0010000100000002;61-93493532;39;0;0
70234;Örum Oy Ab;2025_01;+;38.23;PG0010000100000002;61-93494187;38.23;0;0
358;Örum Oy Ab;2025_01;+;35.39;PG0010000100000002;61-93494329;35.39;0;0
71080;Örum Oy Ab;2025_01;+;28;PG0010000100000002;61-93493085;28;0;0
39100251;Örum Oy Ab;2025_01;-;25.1;PG0010000100000002;61-93493352;-25.1;0;0
71193;Örum Oy Ab;2025_01;-;31.8;PG0010000100000002;61-93493873;-31.8;0;0
320012;Örum Oy Ab;2025_01;+;27.36;PG0010000700000001;61-93494072;27.36;0;0
221264;Örum Oy Ab;2025_01;+;36.47;PG0010000700000001;61-93493213;36.47;0;0
4016;Örum Oy Ab;2025_01;+;34.62;PG0080000500000005;61-93493173;34.62;0;0
214787;Örum Oy Ab;2025_01;+;28.75;PG0080000500000005;61-93492987;28.75;0;0
209799;Örum Oy Ab;2025_01;+;12.28;PG0080000500000005;61-93492928;12.28;0;0
353599;Örum Oy Ab;2025_01;+;12.28;PG0080000500000005;61-93494864;12.28;0;0
2623555;Örum Oy Ab;2025_01;+;12.58;PG0080000300000001;61-93493175;12.58;0;0
40214;Örum Oy Ab;2025_01;+;17.74;PG0080000300000001;61-93494779;17.74;0;0
320086;Örum Oy Ab;2025_01;-;16.23;PG0080000300000001;61-93493783;-16.23;0;0
16618;Örum Oy Ab;2025_01;+;5.43;PG0080000100000001;61-93494786;5.43;0;0
15822;Örum Oy Ab;2025_01;+;5.86;PG0080000100000001;61-93494426;5.86;0;0
3700085;Örum Oy Ab;2025_01;+;6.84;PG0080000100000001;61-93494460;6.84;0;0
218147;Örum Oy Ab;2025_01;+;6.84;PG0080000100000001;61-93494092;6.84;0;0
72174;Örum Oy Ab;2025_01;+;6.84;PG0080000100000001;61-93494312;6.84;0;0
214081;Örum Oy Ab;2025_01;+;6.84;PG0080000100000001;61-93494356;6.84;0;0
71230;Örum Oy Ab;2025_01;+;6.84;PG0080000100000001;61-93494362;6.84;0;0
3678;Örum Oy Ab;2025_01;+;6.56;PG0080000100000001;61-93493219;6.56;0;0
4303;Örum Oy Ab;2025_01;+;7.91;PG0080000100000001;61-93493869;7.91;0;0
358;Örum Oy Ab;2025_01;+;6.56;PG0080000100000001;61-93494329;6.56;0;0
40214;Örum Oy Ab;2025_01;+;7.91;PG0080000100000001;61-93494779;7.91;0;0
2623555;Örum Oy Ab;2025_01;+;4.85;PG0080000100000001;61-93493175;4.85;0;0
214344;Örum Oy Ab;2025_01;+;9.7;PG0080000100000001;61-93493668;9.7;0;0
222072;Örum Oy Ab;2025_01;+;4.85;PG0080000100000001;61-93494468;4.85;0;0
241679;Örum Oy Ab;2025_01;+;9.26;PG0080000200000001;61-93494293;9.26;0;0
71184;Örum Oy Ab;2025_01;-;10.56;PG0080000200000001;61-93493378;-10.56;0;0
353599;Örum Oy Ab;2025_01;+;10.64;PG0080000200000001;61-93493135;10.64;0;0
221181;Örum Oy Ab;2025_01;-;10.64;PG0080000200000001;61-93493596;-10.64;0;0
123021;Örum Oy Ab;2025_01;+;12.79;PG0080000200000001;61-93494063;12.79;0;0
70234;Örum Oy Ab;2025_01;+;16.33;PG0080000200000001;61-93494187;16.33;0;0
322091;Örum Oy Ab;2025_01;+;15.21;PG0080000300000001;61-93493826;15.21;0;0
3505901;Örum Oy Ab;2025_01;+;109.41;PG0110001200000003;61-93494707;109.41;0;0
71193;Örum Oy Ab;2025_01;-;21.76;PG0060000300000001;61-93493873;-21.76;0;0
71230;Örum Oy Ab;2025_01;+;30.7;PG0060000600000006;61-93492954;30.7;0;0
70341;Örum Oy Ab;2025_01;+;30.7;PG0060000600000006;61-93494865;30.7;0;0
19753;Örum Oy Ab;2025_01;+;64.44;PG0090000100000002;61-93494267;0;0;0
214081;Örum Oy Ab;2025_01;+;13.2;PG0020000100000001;61-93494514;13.2;0;0
330103;Örum Oy Ab;2025_01;-;8.12;PG0080000200000001;61-93493065;-8.12;0;0
3700085;Örum Oy Ab;2025_01;+;9.99;PG0080000200000001;61-93494435;9.99;0;0
40214;Örum Oy Ab;2025_01;+;9.99;PG0080000200000001;61-93494779;9.99;0;0
39100251;Örum Oy Ab;2025_01;+;11.18;PG0080000500000001;61-93493286;11.18;0;0
1023;Örum Oy Ab;2025_01;+;11.82;PG0080000500000001;61-93493444;11.82;0;0
320012;Örum Oy Ab;2025_01;+;13.5;PG0080000500000001;61-93494465;13.5;0;0
70341;Örum Oy Ab;2025_01;+;12.45;PG0080000500000001;61-93494801;12.45;0;0
2623555;Örum Oy Ab;2025_01;+;10.46;PG0080000500000001;61-93493175;10.46;0;0
40248;Örum Oy Ab;2025_01;+;6.66;PG0080000500000001;61-93494828;6.66;0;0
320080;Örum Oy Ab;2025_01;+;8.08;PG0080000500000001;61-93492860;8.08;0;0
221181;Örum Oy Ab;2025_01;+;5.93;PG0080000500000001;61-93493103;5.93;0;0
72174;Örum Oy Ab;2025_01;+;7.07;PG0080000500000001;61-93494398;7.07;0;0
3700085;Örum Oy Ab;2025_01;+;7.07;PG0080000500000001;61-93494435;7.07;0;0
71880;Örum Oy Ab;2025_01;+;9.12;PG0080000500000001;61-93493935;9.12;0;0
3700085;Örum Oy Ab;2025_01;+;14.1;PG0080000500000001;61-93494460;14.1;0;0
221181;Örum Oy Ab;2025_01;-;9.18;PG0080000500000001;61-93493596;-9.18;0;0
3700083;Örum Oy Ab;2025_01;+;10.94;PG0080000500000001;61-93493870;10.94;0;0
358;Örum Oy Ab;2025_01;+;9.18;PG0080000500000001;61-93494329;9.18;0;0
3678;Örum Oy Ab;2025_01;+;14.84;PG0080000500000001;61-93493219;14.84;0;0
218147;Örum Oy Ab;2025_01;+;18.65;PG0080000500000001;61-93494111;18.65;0;0
219207;Örum Oy Ab;2025_01;+;18.65;PG0080000500000001;61-93494122;18.65;0;0
71675;Örum Oy Ab;2025_01;+;14.22;PG0080000500000001;61-93493773;14.22;0;0
358;Örum Oy Ab;2025_01;+;19.64;PG0080000500000002;61-93494329;19.64;0;0
5151;Örum Oy Ab;2025_01;+;12.9;PG0080000500000002;61-93494491;12.9;0;0
16618;Örum Oy Ab;2025_01;+;12.9;PG0080000500000002;61-93494786;12.9;0;0
15822;Örum Oy Ab;2025_01;+;14.75;PG0080000500000002;61-93494426;14.75;0;0
3700083;Örum Oy Ab;2025_01;+;16.83;PG0080000500000002;61-93493870;16.83;0;0
2623555;Örum Oy Ab;2025_01;+;13.55;PG0080000500000002;61-93494418;13.55;0;0
19608;Örum Oy Ab;2025_01;+;6.68;PG0080000500000002;61-93493664;6.68;0;0
71341;Örum Oy Ab;2025_01;+;12.01;PG0080000500000002;61-93493183;12.01;0;0
70917;Örum Oy Ab;2025_01;+;9.77;PG0080000500000002;61-93493193;9.77;0;0
214787;Örum Oy Ab;2025_01;+;9.43;PG0080000500000002;61-93494847;9.43;0;0
222107;Örum Oy Ab;2025_01;+;11.2;PG0080000500000002;61-93494216;11.2;0;0
222107;Örum Oy Ab;2025_01;-;11.2;PG0080000500000002;61-93494454;-11.2;0;0
70234;Örum Oy Ab;2025_01;+;47.15;PG0080000500000002;61-93493457;47.15;0;0
218057;Örum Oy Ab;2025_01;+;11.4;PG0080000500000002;61-93493560;11.4;0;0
3700083;Örum Oy Ab;2025_01;+;11.4;PG0080000500000002;61-93493870;11.4;0;0
70546;Örum Oy Ab;2025_01;-;22.97;PG0080000500000002;61-93494480;-22.97;0;0
221163;Örum Oy Ab;2025_01;+;12.86;PG0080000500000002;61-93493031;12.86;0;0
218235;Örum Oy Ab;2025_01;+;11.94;PG0080000500000002;61-93493573;11.94;0;0
70234;Örum Oy Ab;2025_01;+;23.88;PG0080000500000002;61-93494187;23.88;0;0
71230;Örum Oy Ab;2025_01;+;15.01;PG0080000500000002;61-93494362;15.01;0;0
214787;Örum Oy Ab;2025_01;+;8.71;PG0080000500000001;61-93492987;8.71;0;0
71021;Örum Oy Ab;2025_01;+;11.97;PG0080000500000001;61-93493230;11.97;0;0
214499;Örum Oy Ab;2025_01;+;10.67;PG0080000500000001;61-93493846;10.67;0;0
214344;Örum Oy Ab;2025_01;+;10.21;PG0080000500000001;61-93493152;10.21;0;0
214344;Örum Oy Ab;2025_01;+;10.21;PG0080000500000001;61-93493677;10.21;0;0
320086;Örum Oy Ab;2025_01;+;12.22;PG0080000500000001;61-93493771;12.22;0;0
218147;Örum Oy Ab;2025_01;+;12.22;PG0080000500000001;61-93494120;12.22;0;0
241679;Örum Oy Ab;2025_01;+;10.21;PG0080000500000001;61-93494554;10.21;0;0
214499;Örum Oy Ab;2025_01;+;12.55;PG0080000500000001;61-93493479;12.55;0;0
123021;Örum Oy Ab;2025_01;+;17.67;PG0080000500000001;61-93494063;17.67;0;0
71184;Örum Oy Ab;2025_01;-;11.97;PG0080000500000001;61-93493378;-11.97;0;0
71184;Örum Oy Ab;2025_01;-;11.97;PG0080000500000001;61-93493378;-11.97;0;0
222107;Örum Oy Ab;2025_01;+;12.95;PG0080000500000001;61-93492903;12.95;0;0
214787;Örum Oy Ab;2025_01;+;10.47;PG0080000500000001;61-93492987;10.47;0;0
218229;Örum Oy Ab;2025_01;+;12.48;PG0080000500000001;61-93493296;12.48;0;0
216037;Örum Oy Ab;2025_01;+;10.47;PG0080000500000001;61-93494029;10.47;0;0
216037;Örum Oy Ab;2025_01;+;10.47;PG0080000500000001;61-93494365;10.47;0;0
17467;Örum Oy Ab;2025_01;+;12.94;PG0080000500000001;61-93494624;12.94;0;0
